time	V(p2)	V(c5_ic)	V(reset)	V(vosc)	V(p1)	V(vout)	V(sam)
Step Information: Cin=1µ  (Run: 1/3)
3.297732919805126e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.192480e+00	0.000000e+00	-7.798308e+00	5.000000e+00
3.298962919805146e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.191551e+00	0.000000e+00	-7.798400e+00	5.000000e+00
3.299879999999999e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.190857e+00	0.000000e+00	-7.798461e+00	5.000000e+00
3.299950000000000e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.190804e+00	0.000000e+00	-7.798466e+00	5.000000e+00
3.299970000000000e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.190789e+00	0.000000e+00	-7.798467e+00	5.000000e+00
3.299990000000000e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.190774e+00	0.000000e+00	-7.798468e+00	5.000000e+00
3.300010000000001e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.190759e+00	0.000000e+00	-7.798470e+00	5.000000e+00
3.300011000000000e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.190758e+00	0.000000e+00	-7.798470e+00	4.500000e+00
3.300013000000001e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.190757e+00	0.000000e+00	-7.798470e+00	3.500000e+00
3.300016000000001e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.190754e+00	0.000000e+00	-7.798470e+00	2.000000e+00
3.300020000000001e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.190752e+00	0.000000e+00	-7.798470e+00	0.000000e+00
3.300020400000001e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.190751e+00	0.000000e+00	-7.798470e+00	0.000000e+00
3.300021200000001e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.190751e+00	0.000000e+00	-7.798470e+00	0.000000e+00
3.300022800000001e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.190750e+00	0.000000e+00	-7.798470e+00	0.000000e+00
3.300026000000001e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.190747e+00	0.000000e+00	-7.798470e+00	0.000000e+00
3.300032400000002e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.190742e+00	0.000000e+00	-7.798471e+00	0.000000e+00
3.300045200000003e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.190732e+00	0.000000e+00	-7.798471e+00	0.000000e+00
3.300224400000015e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.190597e+00	0.000000e+00	-7.798477e+00	0.000000e+00
3.301658000000115e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.189510e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.306573200000459e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.185769e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.313126800000918e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.180740e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.326234000001835e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.170563e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.345765250001835e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.155152e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.462952750001835e-04	5.000000e+00	-7.799178e+00	0.000000e+00	7.056128e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.480508750000001e-04	5.000000e+00	-7.799178e+00	0.000000e+00	7.040387e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.480788750000006e-04	5.000000e+00	-7.799178e+00	0.000000e+00	7.040132e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.490858750000164e-04	5.000000e+00	-7.799178e+00	0.000000e+00	7.030949e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.495888750000243e-04	5.000000e+00	-7.799177e+00	0.000000e+00	7.026331e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.498438750000283e-04	5.000000e+00	-7.799177e+00	0.000000e+00	7.023983e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.499439999999992e-04	5.000000e+00	-7.799177e+00	0.000000e+00	7.023059e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.499709999999996e-04	5.000000e+00	-7.799177e+00	0.000000e+00	7.022810e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.499940000000000e-04	5.000000e+00	-7.799177e+00	0.000000e+00	7.022598e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.500000000000001e-04	5.000000e+00	-7.799177e+00	0.000000e+00	7.022542e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.500010000000001e-04	5.000000e+00	-7.799177e+00	0.000000e+00	7.022533e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.500011000000000e-04	4.500000e+00	-7.799177e+00	0.000000e+00	7.022532e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.500013000000001e-04	3.500000e+00	-7.799177e+00	0.000000e+00	7.022531e+00	0.000000e+00	-7.798480e+00	0.000000e+00
3.500016000000001e-04	2.000000e+00	-7.799177e+00	0.000000e+00	7.022528e+00	0.000000e+00	-7.798480e+00	0.000000e+00
